Prey,Bait,Score
NDH01G26400.1,NDH14G21830.1,1
NDH11G15560.1,NDH20G08330.1,1
NDH20G25780.1,NDH06G01000.4,1
NDH07G08340.2,NDH03G07150.1,1
NDH08G20160.1,NDH07G08340.1,1
NDH05G02550.1,NDH04G03930.1,1
NDH09G23440.1,NDH20G10570.11,1
NDH08G20140.1,NDH11G02220.1,1
NDH14G05360.1,NDH19G36430.1,1
NDH06G28840.1,NDH06G01020.1,1
NDH04G25440.1,NDH16G13210.7,1
NDH03G00430.1,NDH10G10970.1,1
NDH20G07610.1,NDH15G36700.3,1
NDH08G20140.1,NDH06G23240.1,1
NDH03G05440.1,NDH16G04640.2,1
NDH12G36380.1,NDH16G28140.1,1
NDH19G00780.1,NDH03G07130.1,1
NDH11G04580.1,NDH06G01000.3,1
NDH18G10860.1,NDH20G10520.1,1
NDH05G00860.2,NDH14G10340.1,1
NDH19G17470.1,NDH01G21800.1,1
NDH01G07230.1,NDH01G30090.3,1
NDH10G30320.1,NDH13G05410.1,1
NDH06G21920.1,NDH04G06230.1,1
NDH03G46690.1,NDH13G34710.1,1
NDH07G26970.1,NDH06G01000.4,1
NDH03G00780.1,NDH07G09420.1,1
NDH16G32860.1,NDH14G33370.1,1
NDH14G31720.1,NDH14G40050.1,1
NDH06G06460.1,NDH04G04590.2,1
NDH05G14340.1,NDH06G01000.4,1
NDH19G35080.1,NDH05G26260.1,1
NDH13G49070.1,NDH17G27570.1,1
NDH12G35010.1,NDH07G01770.1,1
NDH10G07180.1,NDH19G35080.1,1
NDH11G34800.1,NDH13G17040.1,1
NDH05G01540.2,NDH15G23230.1,1
NDH20G42940.1,NDH15G26260.3,1
NDH01G15550.1,NDH19G22020.1,1
NDH20G10650.1,NDH16G00130.1,1
NDH02G14130.1,NDH14G04910.4,1
NDH16G16490.1,NDH19G01590.1,1
NDH06G19290.1,NDH12G19910.1,1
NDH03G39640.1,NDH01G13010.1,1
NDH14G40140.1,NDH12G27890.1,1
NDH18G08130.1,NDH14G10430.1,1
NDH15G27910.1,NDH10G29460.1,1
NDH07G08340.2,NDH10G05290.1,1
NDH09G36020.1,NDH03G16030.1,1
NDH16G36420.1,NDH16G14050.3,1
NDH09G08500.5,NDH15G38690.1,1
NDH09G36370.1,NDH20G16530.1,1
NDH05G39540.1,NDH09G23960.1,1
NDH13G53920.1,NDH04G25340.3,1
NDH08G02410.1,NDH20G31600.3,1
NDH02G08230.1,NDH19G36450.1,1
NDH18G10860.1,NDH06G01000.2,1
NDH10G05010.1,NDH06G06070.1,1
NDH15G05200.2,NDH03G02100.2,1
NDH06G12950.1,NDH04G33930.1,1
NDH01G36510.2,NDH14G05360.1,1
NDH13G08370.1,NDH06G01000.4,1
NDH01G04960.1,NDH17G36710.1,1
NDH16G29160.1,NDH14G03830.1,1
NDH03G47250.1,NDH07G11710.1,1
NDH17G02220.1,NDH06G20440.1,1
NDH13G45090.1,NDH08G24450.1,1
NDH09G23440.1,NDH15G36630.1,1
NDH11G01860.1,NDH13G00110.1,1
NDH03G47390.1,NDH19G10580.1,1
NDH15G26260.4,NDH06G01000.4,1
NDH16G34250.1,NDH06G32160.1,1
NDH18G10880.1,NDH09G23440.1,1
NDH08G20140.1,NDH05G26720.1,1
NDH01G25940.1,NDH04G22660.1,1
NDH09G29120.1,NDH10G08270.3,1
NDH02G14130.1,NDH19G03950.1,1
NDH10G05290.1,NDH20G28350.6,1
NDH16G31760.1,NDH05G00110.1,1
NDH20G38120.1,NDH16G13210.7,1
NDH06G17790.1,NDH06G01000.3,1
NDH02G24640.1,NDH13G49480.1,1
NDH07G08340.1,NDH06G01000.3,1
NDH06G01020.1,NDH16G33210.1,1
NDH15G07210.1,NDH19G36450.1,1
NDH03G47250.1,NDH13G04040.2,1
NDH06G25990.1,NDH09G27420.2,1
NDH16G14050.3,NDH12G00470.1,1
NDH12G35010.1,NDH03G17790.1,1
NDH12G00980.1,NDH06G21840.3,1
NDH11G02470.1,NDH06G01000.3,1
NDH13G45090.2,NDH18G28100.1,1
NDH13G04040.2,NDH19G00780.1,1
NDH06G01000.4,NDH10G30310.1,1
NDH03G04180.1,NDH04G06230.1,1
NDH09G14250.1,NDH12G35010.1,1
NDH01G05740.1,NDH09G28360.11,1
NDH01G23510.1,NDH01G26960.1,1
NDH11G02470.1,NDH06G01000.4,1
NDH03G36740.1,NDH03G13460.1,1
NDH01G06480.1,NDH15G13380.1,1
NDH08G04810.2,NDH04G06230.1,1
NDH19G17470.1,NDH05G39540.1,1
NDH18G15710.1,NDH19G08690.1,1
NDH04G02660.1,NDH03G20410.1,1
NDH03G14320.2,NDH20G14370.1,1
NDH20G06580.1,NDH11G15820.1,1
NDH03G22220.2,NDH05G39990.1,1
NDH06G01000.3,NDH06G01000.3,1
NDH19G19340.4,NDH14G12430.1,1
NDH14G34740.1,NDH13G41210.1,1
NDH16G04510.1,NDH01G20470.1,1
NDH19G17810.1,NDH09G28660.1,1
NDH13G17280.1,NDH16G29310.1,1
NDH13G51270.1,NDH16G17170.2,1
NDH15G39190.1,NDH15G18631.1,1
NDH14G21790.1,NDH02G14850.1,1
NDH03G47920.1,NDH08G00590.1,1
NDH08G15400.1,NDH08G29610.1,1
NDH20G03020.1,NDH15G36630.1,1
NDH01G31090.2,NDH06G01000.3,1
NDH01G05700.1,NDH07G10790.1,1
NDH17G08860.1,NDH19G42510.1,1
NDH20G38650.1,NDH13G07960.1,1
NDH15G34140.1,NDH16G14050.3,1
NDH18G08330.1,NDH12G27890.1,1
NDH15G39190.1,NDH16G14050.3,1
NDH03G39330.1,NDH19G03950.1,1
NDH04G13530.1,NDH18G20890.1,1
NDH20G31450.1,NDH12G23200.1,1
NDH16G22340.1,NDH06G37500.2,1
NDH10G30320.1,NDH13G04040.2,1
NDH17G17370.1,NDH06G01000.3,1
NDH16G17250.1,NDH06G15710.1,1
NDH01G02350.1,NDH11G23270.1,1
NDH20G11081.1,NDH20G11090.1,1
NDH12G27340.1,NDH09G22100.1,1
NDH16G10640.1,NDH04G06230.1,1
NDH13G41210.2,NDH06G21060.1,1
NDH17G37530.1,NDH16G14050.3,1
NDH10G01180.1,NDH13G24230.1,1
NDH15G38900.1,NDH19G35080.1,1
NDH16G08660.1,NDH15G29280.1,1
NDH01G25350.1,NDH08G12760.1,1
NDH14G35600.1,NDH06G17970.1,1
NDH20G11710.1,NDH03G41190.1,1
NDH01G29120.2,NDH16G15680.1,1
NDH03G02130.1,NDH09G16360.1,1
NDH07G06630.1,NDH01G22990.1,1
NDH03G37040.1,NDH01G13500.1,1
NDH09G04450.1,NDH06G04140.1,1
NDH15G34930.4,NDH08G18660.1,1
NDH18G03070.1,NDH13G41210.1,1
NDH14G32240.3,NDH16G13210.7,1
NDH06G02600.1,NDH09G28360.15,1
NDH01G30610.1,NDH12G05740.1,1
NDH10G16750.2,NDH17G15720.4,1
NDH12G05080.3,NDH19G03950.1,1
NDH08G29610.1,NDH10G32450.3,1
NDH15G38640.1,NDH18G10880.1,1
NDH10G24110.1,NDH04G31710.1,1
NDH19G35820.1,NDH14G34980.1,1
NDH06G15751.1,NDH19G15890.1,1
NDH15G37220.6,NDH03G00780.1,1
NDH20G40630.1,NDH15G30460.1,1
NDH18G32240.2,NDH14G40050.1,1
NDH19G04310.1,NDH08G20110.1,1
NDH20G12720.1,NDH15G26650.1,1
